target_id	gene	cell_line	expected_meth_state	observed_beta	coverage_replicates	nearest_cpg_distance_bp	transport_status	reason
T3	VEGFA	HEK293T	methylated		0		low_coverage	0 qualifying replicates after coverage gate; need 2
T3	VEGFA	HCT116	methylated		0		low_coverage	0 qualifying replicates after coverage gate; need 2
T9	VEGFA	HEK293T	unmethylated		0		low_coverage	0 qualifying replicates after coverage gate; need 2
T9	VEGFA	HCT116	unmethylated		0		low_coverage	0 qualifying replicates after coverage gate; need 2
T4	EMX1	HEK293T	unmethylated	0.007401	ENCFF001TMR:cov=64:beta=0.0200:dist=0:strand=-;ENCFF001TMQ:cov=114:beta=0.0100:dist=0:strand=-;ENCFF001TMS:cov=38:beta=0.0000:dist=0:strand=-;ENCFF001TMT:cov=111:beta=0.0000:dist=0:strand=-	0	confirmed	observed beta agrees with Roth unmethylated label
T4	EMX1	HCT116	methylated	1.000000	ENCFF001TMM:cov=11:beta=1.0000:dist=26:strand=+;ENCFF001TMN:cov=10:beta=1.0000:dist=0:strand=-	0	confirmed	observed beta agrees with Roth methylated label
T5	PRDX4	HEK293T	methylated	0.750500	ENCFF001TMR:cov=39:beta=0.9000:dist=0:strand=+;ENCFF001TMQ:cov=17:beta=0.8200:dist=0:strand=+;ENCFF001TMS:cov=11:beta=0.0900:dist=48:strand=-;ENCFF001TMT:cov=13:beta=0.7700:dist=0:strand=+	0	confirmed	observed beta agrees with Roth methylated label
T5	PRDX4	HCT116	unmethylated	0.061277	ENCFF001TMM:cov=11:beta=0.0000:dist=48:strand=-;ENCFF001TMN:cov=36:beta=0.0800:dist=48:strand=-	48	confirmed	observed beta agrees with Roth unmethylated label
T10	APBB2	HEK293T	unmethylated	0.003469	ENCFF001TMR:cov=48:beta=0.0000:dist=0:strand=+;ENCFF001TMQ:cov=150:beta=0.0000:dist=0:strand=+;ENCFF001TMS:cov=26:beta=0.0000:dist=0:strand=+;ENCFF001TMT:cov=47:beta=0.0200:dist=0:strand=+	0	confirmed	observed beta agrees with Roth unmethylated label
T11	EGFLAM	HEK293T	unmethylated	0.000000	ENCFF001TMR:cov=15:beta=0.0000:dist=0:strand=+;ENCFF001TMQ:cov=14:beta=0.0000:dist=0:strand=+;ENCFF001TMS:cov=35:beta=0.0000:dist=0:strand=+;ENCFF001TMT:cov=15:beta=0.0000:dist=40:strand=-	0	confirmed	observed beta agrees with Roth unmethylated label
T12	LUZP2	HEK293T	unmethylated	0.014672	ENCFF001TMR:cov=97:beta=0.0200:dist=0:strand=+;ENCFF001TMQ:cov=123:beta=0.0200:dist=0:strand=+;ENCFF001TMS:cov=42:beta=0.0000:dist=0:strand=+;ENCFF001TMT:cov=119:beta=0.0100:dist=0:strand=+	0	confirmed	observed beta agrees with Roth unmethylated label
T13	ABHD15	HEK293T	methylated	0.534774	ENCFF001TMR:cov=41:beta=1.0000:dist=0:strand=+;ENCFF001TMQ:cov=40:beta=0.9800:dist=0:strand=+;ENCFF001TMS:cov=37:beta=0.0300:dist=0:strand=+;ENCFF001TMT:cov=81:beta=0.3100:dist=0:strand=+	0	ambiguous	observed beta is within the ambiguous interval
T14	GDA	HEK293T	methylated	0.909871	ENCFF001TMR:cov=211:beta=0.9000:dist=0:strand=-;ENCFF001TMQ:cov=175:beta=0.8500:dist=0:strand=-;ENCFF001TMT:cov=313:beta=0.9500:dist=0:strand=-	0	confirmed	observed beta agrees with Roth methylated label
T15	ZNF503	HEK293T	methylated	0.964915	ENCFF001TMR:cov=23:beta=0.9100:dist=33:strand=-;ENCFF001TMQ:cov=10:beta=1.0000:dist=0:strand=+;ENCFF001TMS:cov=11:beta=1.0000:dist=33:strand=-;ENCFF001TMT:cov=15:beta=1.0000:dist=14:strand=-	0	confirmed	observed beta agrees with Roth methylated label
