cohort	sigma_fixed	auc
GSE322563 HM450	0.050000	0.989674
GSE322563 HM450	0.070711	0.989309
GSE322563 HM450	0.100000	0.988665
GSE322563 HM450	0.150000	0.976780
GSE322563 native v2	0.050000	0.986138
GSE322563 native v2	0.070711	0.985749
GSE322563 native v2	0.100000	0.985085
GSE322563 native v2	0.150000	0.976141
GSE77348	0.050000	0.982223
GSE77348	0.070711	0.981647
GSE77348	0.100000	0.979035
GSE77348	0.150000	0.965153
GSE69914	0.050000	0.862379
GSE69914	0.070711	0.864203
GSE69914	0.100000	0.830076
GSE69914	0.150000	0.821119
