cohort	delta	sigma_fixed	auc	tie_band@100
GSE322563 HM450	0.10	0.030000	0.987557	1
GSE322563 HM450	0.10	0.050000	0.986876	1
GSE322563 HM450	0.10	0.070711	0.981463	1
GSE322563 HM450	0.10	0.100000	0.975572	1
GSE322563 HM450	0.10	0.150000	0.968381	1
GSE322563 HM450	0.10	0.200000	0.966667	1
GSE322563 HM450	0.15	0.030000	0.988461	1
GSE322563 HM450	0.15	0.050000	0.988102	1
GSE322563 HM450	0.15	0.070711	0.987632	1
GSE322563 HM450	0.15	0.100000	0.984171	1
GSE322563 HM450	0.15	0.150000	0.975112	1
GSE322563 HM450	0.15	0.200000	0.967340	1
GSE322563 HM450	0.20	0.030000	0.989107	1
GSE322563 HM450	0.20	0.050000	0.988796	1
GSE322563 HM450	0.20	0.070711	0.988431	1
GSE322563 HM450	0.20	0.100000	0.987744	1
GSE322563 HM450	0.20	0.150000	0.976158	1
GSE322563 HM450	0.20	0.200000	0.969931	1
GSE322563 HM450	0.25	0.030000	0.989632	1
GSE322563 HM450	0.25	0.050000	0.989296	1
GSE322563 HM450	0.25	0.070711	0.988970	1
GSE322563 HM450	0.25	0.100000	0.988435	1
GSE322563 HM450	0.25	0.150000	0.983919	1
GSE322563 HM450	0.25	0.200000	0.975230	1
GSE322563 HM450	0.30	0.030000	0.990021	1
GSE322563 HM450	0.30	0.050000	0.989708	1
GSE322563 HM450	0.30	0.070711	0.989387	1
GSE322563 HM450	0.30	0.100000	0.988892	1
GSE322563 HM450	0.30	0.150000	0.987334	1
GSE322563 HM450	0.30	0.200000	0.975848	1
GSE322563 native v2	0.10	0.030000	0.997802	1
GSE322563 native v2	0.10	0.050000	0.997689	1
GSE322563 native v2	0.10	0.070711	0.997049	1
GSE322563 native v2	0.10	0.100000	0.996404	1
GSE322563 native v2	0.10	0.150000	0.995605	1
GSE322563 native v2	0.10	0.200000	0.995366	1
GSE322563 native v2	0.15	0.030000	0.997923	1
GSE322563 native v2	0.15	0.050000	0.997856	1
GSE322563 native v2	0.15	0.070711	0.997787	1
GSE322563 native v2	0.15	0.100000	0.997358	1
GSE322563 native v2	0.15	0.150000	0.996337	1
GSE322563 native v2	0.15	0.200000	0.995466	1
GSE322563 native v2	0.20	0.030000	0.998011	1
GSE322563 native v2	0.20	0.050000	0.997953	1
GSE322563 native v2	0.20	0.070711	0.997896	1
GSE322563 native v2	0.20	0.100000	0.997798	1
GSE322563 native v2	0.20	0.150000	0.996477	1
GSE322563 native v2	0.20	0.200000	0.995746	1
GSE322563 native v2	0.25	0.030000	0.998080	1
GSE322563 native v2	0.25	0.050000	0.998025	1
GSE322563 native v2	0.25	0.070711	0.997973	1
GSE322563 native v2	0.25	0.100000	0.997892	1
